Exponential Fit
0.000000 3.041107
0.100000 2.557401
0.200000 2.382970
0.300000 2.112403
0.400000 1.617697
0.500000 1.538443
0.600000 1.082009
0.700000 1.345883
0.800000 0.993658
0.900000 0.819010
1.000000 0.796833
1.100000 0.615360
1.200000 0.629093
1.300000 0.522522
1.400000 0.591934
1.500000 0.475414
1.600000 0.281210
1.700000 0.343626
1.800000 0.248579
1.900000 0.247282
2.000000 0.226484
2.100000 0.210288
2.200000 0.167115
2.300000 0.174643
2.400000 0.126100
2.500000 0.120132
2.600000 0.108932
2.700000 0.090455
2.800000 0.085695
2.900000 0.071391
3.000000 0.055964
