Power Fit
-2.000000 -131.981129
-1.900000 -93.710215
-1.800000 -60.016470
-1.700000 -36.623263
-1.600000 -27.823988
-1.500000 -14.648968
-1.400000 -8.904730
-1.300000 -9.429749
-1.200000 -2.390780
-1.100000 -4.204401
-1.000000 3.548801
-0.900000 -0.575996
-0.800000 4.698284
-0.700000 -1.357530
-0.600000 1.740307
-0.500000 -0.196186
-0.400000 -6.067515
-0.300000 -2.946613
-0.200000 1.837521
-0.100000 -0.164658
0.000000 -3.356196
0.100000 -1.879136
0.200000 0.748566
0.300000 -2.978838
0.400000 2.926489
0.500000 -1.914316
0.600000 5.454581
0.700000 -3.157244
0.800000 0.807284
0.900000 -4.084783
1.000000 -1.170893
1.100000 0.168966
1.200000 4.787190
1.300000 9.101252
1.400000 11.442808
1.500000 15.966726
1.600000 29.290011
1.700000 43.430528
1.800000 61.582619
1.900000 91.100917
2.000000 129.238388
